id,shadow,level,main_question,option_A,option_B,option_V,strong_response_rule,followups,bridge_question,bridge_targets,micro_reaction,strong_phrase
1,Замирание перед шагом,behavioral,"Представь: у тебя есть возможность сделать первый шаг к жизни: {dream}. Но нет гарантии, что получится. Что тебе ближе?",Я чаще всего откладываю и чего-то жду,"Я начинаю, но с напряжением",Пойду пробовать,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Когда ты откладываешь такие шаги, что ты как будто пытаешься избежать? | Насколько тебе знакомо: «я начну, когда буду уверен(а)»? | Когда думаешь «надо начать» — что происходит в теле?",Если ты все-таки начнешь — что самое неприятное может произойти?,"4, 5, 8, 9","Похоже, здесь дело не в том, что ты не можешь. В момент старта внутри становится небезопасно.","Ты не стоишь на месте потому, что не готов(а). Ты стоишь, потому что ждешь состояние, в котором не будет страха."
2,Вечная подготовка,behavioral,Перед тем как начать что-то важное:,Я долго готовлюсь и откладываю,"Начинаю, но сомневаюсь",Могу спокойно начинать,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Бывает ли так, что ты уже что-то сделал(а), но не показываешь, потому что «еще не идеально»? | Насколько тебе знакомо: «сначала еще разберусь / доучусь — потом начну»? | Если ты сделаешь это не идеально — что тебя пугает? | Когда ты думаешь «еще не идеально», что происходит в теле?","Если ты покажешь это в неидеальном виде — что может случиться такого, чего ты не хочешь?","4, 5, 7, 10",Здесь дело не в лени. Это похоже на внутреннее правило: «сначала идеально — потом можно».,Пока ты ждешь идеального состояния — движение не начинается.
3,Разрыв с процессом,behavioral,Когда ты начинаешь двигаться к чему-то важному и результат не приходит быстро:,Я теряю интерес,"Держусь, но тяжело",Могу продолжать долго,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Тебе больше откликается: «хочу результат» или «мне нравится сам путь»? | Когда нет результата, что появляется внутри? | Что ты начинаешь думать о себе или о пути, если прогресс идет медленно?","Когда результата нет, что внутри становится самым трудным?","7, 8, 9","Похоже, тебе сложно находиться в процессе, если нет быстрого подтверждения, что все работает.",Если ценность только в результате — путь становится слишком тяжелым.
4,Жизнь с оглядкой,personal,"Ты начинаешь проявляться: говорить о себе, делать шаги, показывать себя. И понимаешь, что тебя могут оценить.",Я сжимаюсь и отступаю,"Мне неприятно, но я пробую",Я принимаю это как часть пути,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Если близкие не поддержат твой шаг — что происходит внутри? | Насколько тебе знакомо: «не хочу выглядеть глупо / странно / не так»? | Чье мнение влияет на тебя сильнее всего? | Что ты не делаешь из-за того, что тебя могут оценить? | Когда ты представляешь, что тебя оценивают, что происходит в теле?",Если тебя не одобрят — что это будет значить о тебе?,"5, 10",Это не просто страх оценки. Это состояние: «я как будто живу под взглядом».,Пока ты смотришь на себя глазами других — ты не можешь жить своей жизнью.
5,Запрет занимать место,personal,"Когда ты думаешь о своем росте — о больших деньгах, о проявленности, о новом уровне:",Есть ощущение «я пока не дотягиваю»,Иногда есть мысли «а вдруг я не смогу»,"Я чувствую, что могу расти",считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Если тебе дают возможность вырасти — что внутри происходит? | В каких ситуациях ты чувствуешь, что «еще не заслужил(а)»? | Что ты как будто должен(на) сначала доказать?",Если ты действительно займешь больше места — что в этом может быть страшного?,"8, 10",Это не про навыки. Это про внутреннее разрешение быть больше.,"Ты не разрешаешь себе быть больше, пока не докажешь, что достоин(на)."
6,Чужой чертеж,personal,Насколько твоя жизнь сейчас — это твой выбор?,Я часто живу «как надо»,"Частично мое, частично нет",В целом мой выбор,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,В какой сфере ты сильнее всего живешь «как принято»? | Где ты особенно чувствуешь: «это не совсем моя жизнь»?,Если убрать ожидания других — что в твоей жизни ты бы пересобрал(а) первым делом?,"5, 9","Иногда дом может быть крепким, но построенным не по твоему проекту.","Можно жить в доме, который выглядит правильно, но не является по-настоящему твоим."
7,Страх большего,root,Представь: у тебя получилось. Жизнь {dream} стала реальностью. Что внутри?,Напряжение,Радость и тревога,Спокойная готовность,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Что в этом росте может напрягать? | Что изменится в твоей жизни, если ты действительно станешь заметнее / свободнее / богаче?",Если это случится по-настоящему — какой частью жизни придется уже не притворяться?,,Иногда страшно не упасть. Иногда страшно вырасти.,"Иногда больше всего пугает не провал, а новая версия себя."
8,Нет внутренней опоры,root,Когда нужно сделать очень важный шаг:,Мне часто нужна поддержка или одобрение,"Лучше, если кто-то рядом",Я могу опираться на себя,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"В каких решениях тебе особенно трудно опираться только на себя? | Что происходит, если рядом нет человека, который поддержит?",Если рядом никого не будет — чего тебе будет не хватать больше всего?,,"Здесь вопрос не в смелости. Вопрос в том, есть ли у тебя внутренний хозяин дома.","Когда внутри нет хозяина дома, любой важный шаг кажется слишком тяжелым."
9,Жизнь в привычном,root,"Чтобы прийти к жизни, которую ты хочешь, нужно выйти из привычного.",Это очень сложно,"Страшно, но возможно",Я воспринимаю это как рост,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,"Что ты выбираешь снова и снова просто потому, что оно знакомо? | Что ты можешь потерять, если выйдешь из привычного?",Если ты выйдешь из привычного — что в этом будет для тебя самой большой потерей?,,"Здесь видно, насколько для тебя безопасно новое.","Иногда привычное держит не потому, что оно хорошее, а потому, что оно понятное."
10,Малый масштаб,root,Когда ты думаешь о своей мечте:,Есть мысль «это не для меня / уже поздно»,Иногда это появляется,Я не ограничиваю себя этим,считаем сильным откликом: A; либо B + текст >= 120 символов; либо явные эмоциональные/телесные маркеры,Где ты сам(а) себя уменьшаешь? | Какой масштаб жизни кажется тебе «слишком большим» лично для тебя?,Если допустить по-настоящему большой масштаб — что в этом может быть слишком непривычным или страшным?,,"Это не про возраст и не про обстоятельства. Это про ту планку, которую ты себе разрешаешь.","Иногда потолок возникает не снаружи, а в том масштабе, который мы себе разрешаем."
